sentiment,text,bert_sentiment,bert_sentiment_score
NEGATIVE,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",NEGATIVE,0.9985753297805786
NEGATIVE,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,NEGATIVE,0.9980071187019348
NEGATIVE,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,POSITIVE,0.9374226331710815
NEGATIVE,my whole body feels itchy and like its on fire ,POSITIVE,0.9769710898399353
NEGATIVE,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",NEGATIVE,0.9989919066429138
NEGATIVE,@Kwesidei not the whole crew ,NEGATIVE,0.9972791075706482
NEGATIVE,Need a hug ,NEGATIVE,0.6732542514801025
NEGATIVE,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",POSITIVE,0.9988188147544861
NEGATIVE,@Tatiana_K nope they didn't have it ,NEGATIVE,0.9982680082321167
NEGATIVE,@twittera que me muera ? ,NEGATIVE,0.9825780987739563
NEGATIVE,spring break in plain city... it's snowing ,POSITIVE,0.9863536357879639
NEGATIVE,I just re-pierced my ears ,NEGATIVE,0.8622960448265076
NEGATIVE,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,NEGATIVE,0.9977198243141174
NEGATIVE,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",POSITIVE,0.9836907982826233
NEGATIVE,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",NEGATIVE,0.9988899827003479
NEGATIVE,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,POSITIVE,0.9960423707962036
NEGATIVE,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,NEGATIVE,0.9951229691505432
NEGATIVE,about to file taxes ,NEGATIVE,0.9812102913856506
NEGATIVE,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,POSITIVE,0.9958595633506775
NEGATIVE,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,NEGATIVE,0.9977502226829529
NEGATIVE,@alydesigns i was out most of the day so didn't get much done ,NEGATIVE,0.9991583824157715
NEGATIVE,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",NEGATIVE,0.9351576566696167
NEGATIVE,@angry_barista I baked you a cake but I ated it ,NEGATIVE,0.9780779480934143
NEGATIVE,this week is not going as i had hoped ,NEGATIVE,0.9996817111968994
NEGATIVE,blagh class at 8 tomorrow ,POSITIVE,0.878851056098938
NEGATIVE,I hate when I have to call and wake people up ,NEGATIVE,0.994103729724884
NEGATIVE,Just going to cry myself to sleep after watching Marley and Me.  ,NEGATIVE,0.9987008571624756
NEGATIVE,im sad now  Miss.Lilly,NEGATIVE,0.9962658286094666
NEGATIVE,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,POSITIVE,0.9855452179908752
NEGATIVE,Meh... Almost Lover is the exception... this track gets me depressed every time. ,NEGATIVE,0.9946630001068115
NEGATIVE,some1 hacked my account on aim  now i have to make a new one,NEGATIVE,0.9993460774421692
NEGATIVE,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,NEGATIVE,0.9936906099319458
NEGATIVE,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,NEGATIVE,0.9983808994293213
NEGATIVE,@julieebaby awe i love you too!!!! 1 am here  i miss you,POSITIVE,0.9995993971824646
NEGATIVE,@HumpNinja I cry my asian eyes to sleep at night ,NEGATIVE,0.9870945811271667
NEGATIVE,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,NEGATIVE,0.9832164645195007
NEGATIVE,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,NEGATIVE,0.9992790818214417
NEGATIVE,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,NEGATIVE,0.9992355108261108
NEGATIVE,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,NEGATIVE,0.9997239708900452
NEGATIVE,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,NEGATIVE,0.9930967688560486
NEGATIVE,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,NEGATIVE,0.9586430788040161
NEGATIVE,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,NEGATIVE,0.773967444896698
NEGATIVE,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",NEGATIVE,0.9990209341049194
NEGATIVE,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,NEGATIVE,0.9980803728103638
NEGATIVE,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,NEGATIVE,0.9973652958869934
NEGATIVE,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,NEGATIVE,0.9797153472900391
NEGATIVE,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",NEGATIVE,0.9986889958381653
NEGATIVE,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,NEGATIVE,0.9968419075012207
NEGATIVE,is strangely sad about LiLo and SamRo breaking up. ,NEGATIVE,0.992451012134552
NEGATIVE,@tea oh! i'm so sorry  i didn't think about that before retweeting.,NEGATIVE,0.9821919798851013
NEGATIVE,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,NEGATIVE,0.8836159706115723
NEGATIVE,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",NEGATIVE,0.9794784188270569
NEGATIVE,our duck and chicken are taking wayyy too long to hatch ,NEGATIVE,0.9995414018630981
NEGATIVE,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",NEGATIVE,0.9996848106384277
NEGATIVE,I need a hug ,POSITIVE,0.969510018825531
NEGATIVE,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",NEGATIVE,0.9976430535316467
NEGATIVE,@oanhLove I hate when that happens... ,NEGATIVE,0.9939073920249939
NEGATIVE,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",NEGATIVE,0.9978432655334473
NEGATIVE,Ugh....92 degrees tomorrow ,NEGATIVE,0.9916696548461914
NEGATIVE,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,POSITIVE,0.9986541271209717
NEGATIVE,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",NEGATIVE,0.9992328882217407
